task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	1f/840aa5	nf-1f840aa59fe48167384afa0b8ac5a342-648be	calc_indices:arvi (3)	CACHED	0	2026-07-19 19:30:54.612	10.4s	4.8s	238.1%	502.2 MB	5.9 GB	66.3 MB	6.7 MB
36	0d/983d43	nf-0d983d432398bec18aa2a4d491f13ed0-9819d	calc_indices:arvi (4)	CACHED	0	2026-07-19 19:30:49.570	9.4s	4.6s	238.2%	439.5 MB	5.8 GB	65.1 MB	7 MB
34	7f/ae8365	nf-7fae8365eeacb02435b992e327d30ede-f6685	calc_indices:sarvi (4)	CACHED	0	2026-07-19 19:30:24.681	6.3s	4.8s	237.8%	508.5 MB	5.9 GB	65.3 MB	7.1 MB
32	21/aae386	nf-21aae38687e008a69751c9f3f3b7aa17-c173f	calc_indices:savi (4)	CACHED	0	2026-07-19 19:30:44.657	7.3s	5.1s	228.8%	457.8 MB	5.9 GB	65.1 MB	6.9 MB
21	df/ae23d4	nf-dfae23d4fe469d0ba2de2bedd8e33b32-399f5	calc_indices:sarvi (3)	CACHED	0	2026-07-19 19:30:24.549	12.5s	4.8s	240.3%	539.8 MB	5.9 GB	66.4 MB	6.8 MB
17	8f/58c605	nf-8f58c6054b66972daaee69195914f8d8-f5771	calc_indices:evi (3)	CACHED	0	2026-07-19 19:30:54.510	14.5s	4.6s	245.0%	429.3 MB	5.8 GB	66.6 MB	7 MB
22	99/f82c56	nf-99f82c562e92a5d87a76a279e842d442-6128f	calc_indices:ndti (3)	CACHED	0	2026-07-19 19:30:34.503	7.5s	4.3s	252.5%	447.5 MB	5.8 GB	66.2 MB	6.5 MB
31	21/f1a585	nf-21f1a5858c01d5dc2799f000060264c4-43509	calc_indices:ndti (4)	CACHED	0	2026-07-19 19:30:34.627	14.4s	4.9s	236.6%	480.4 MB	5.9 GB	64.9 MB	6.7 MB
24	cb/964382	nf-cb96438266e4a0817cd3ed64b0cb1068-31207	calc_indices:nbr (3)	CACHED	0	2026-07-19 19:30:49.489	7.5s	4.4s	253.1%	446.6 MB	5.8 GB	66.2 MB	6.6 MB
30	27/507c82	nf-27507c82be6e0a1a4d88ce57d6241074-6ee53	calc_indices:evi (4)	CACHED	0	2026-07-19 19:30:59.577	13.4s	5.3s	212.5%	448.2 MB	5.8 GB	65.4 MB	7.2 MB
14	ff/d3e2b4	nf-ffd3e2b46c23ba63a23d28b3cd7eebb8-5f6bf	calc_indices:savi (3)	CACHED	0	2026-07-19 19:30:44.544	11.5s	5.5s	208.7%	446.2 MB	5.8 GB	66.5 MB	6.9 MB
39	f7/eca507	nf-f7eca5079d85d08748ca87353384dc6a-9a605	calc_indices:nbr (4)	CACHED	0	2026-07-19 19:31:09.513	10.5s	4.6s	246.2%	436.1 MB	5.8 GB	64.9 MB	6.6 MB
29	42/1f1d58	nf-421f1d588a0a24957139e215536cee1f-f1ba5	calc_indices:ndvi (4)	CACHED	0	2026-07-19 19:30:29.506	5.5s	4.6s	244.8%	439.2 MB	5.8 GB	65.1 MB	6.7 MB
12	f1/e44b34	nf-f1e44b34927e8dd8d7949c8f38e657a3-2a262	calc_indices:ndvi (3)	CACHED	0	2026-07-19 19:30:29.579	15.4s	4.9s	229.2%	462.4 MB	5.9 GB	66.5 MB	6.7 MB
37	2d/2923b7	nf-2d2923b7b24b1a906d9a28ee1cf735d5-e9665	calc_indices:sarvi (5)	CACHED	0	2026-07-19 19:30:59.512	5.5s	4.4s	252.7%	446.9 MB	5.8 GB	64.8 MB	7.2 MB
35	0e/c28830	nf-0ec288305b1637d3af618e929e341c3c-1a61c	calc_indices:evi (5)	CACHED	0	2026-07-19 19:31:29.550	6.5s	4.5s	245.6%	444.7 MB	5.8 GB	64.8 MB	7.3 MB
48	2c/ab853c	nf-2cab853c97b3c67e0eac9637e0b8194d-57257	calc_indices:ndti (6)	CACHED	0	2026-07-19 19:31:19.542	6.5s	4.9s	236.7%	472.9 MB	5.9 GB	65.5 MB	6.6 MB
28	05/9c11bc	nf-059c11bce7c2fdf3c025aae8b9f467df-87e82	explode_base_files:explode_pr (7)	CACHED	0	2026-07-19 19:31:54.474	1.5s	381ms	947.8%	12.7 MB	55.6 MB	5.2 MB	14 KB
38	f0/83ac6c	nf-f083ac6c5f9a7cb1537f7360ffa22095-4bca1	calc_indices:arvi (5)	CACHED	0	2026-07-19 19:31:29.699	10.3s	4.9s	232.8%	462.3 MB	5.9 GB	64.8 MB	7 MB
43	b9/8ce10c	nf-b98ce10c11a8da259870c2f59498096b-14493	explode_base_files:explode_pr (8)	CACHED	0	2026-07-19 19:31:49.558	2.4s	622ms	600.4%	3.4 MB	10.4 MB	5.2 MB	14 KB
56	e8/58cf39	nf-e858cf39922c40b78517cbf145705f3d-798ae	calc_indices:ndvi (6)	CACHED	0	2026-07-19 19:31:09.692	4.3s	4.2s	259.4%	447.9 MB	5.8 GB	65.6 MB	6.8 MB
